class_name,threshold,tp,fp,tn,fn,precision,recall_sensitivity,specificity,fpr,f1,balanced_accuracy,youden_j
Hernia,4.679972540487018e-24,12.0,6686.0,18824.0,74.0,0.0017915795759928337,0.13953488372093023,0.7379067032536261,0.26209329674637394,0.0035377358490566043,0.43872079348727816,-0.12255841302544368
Hernia,4.5359853093311e-24,12.0,6701.0,18809.0,74.0,0.0017875763444063757,0.13953488372093023,0.7373186985495884,0.2626813014504116,0.0035299308721870866,0.43842679113525934,-0.12314641772948132
Hernia,4.3964275321579984e-24,12.0,6718.0,18792.0,74.0,0.0017830609212481426,0.13953488372093023,0.7366522932183458,0.2633477067816542,0.0035211267605633804,0.43809358846963803,-0.12381282306072394
Hernia,4.2611635248920146e-24,12.0,6732.0,18778.0,74.0,0.0017793594306049821,0.13953488372093023,0.7361034888279107,0.26389651117208934,0.003513909224011713,0.43781918627442046,-0.12436162745115908
Hernia,4.130061153331524e-24,12.0,6746.0,18764.0,74.0,0.0017756732761171944,0.13953488372093023,0.7355546844374755,0.2644453155625245,0.0035067212156633543,0.4375447840792029,-0.12491043184159423
Hernia,4.0029926220098814e-24,12.0,6755.0,18755.0,74.0,0.0017733116595241613,0.13953488372093023,0.735201881615053,0.26479811838494705,0.003502115861666423,0.4373683826679916,-0.1252632346640168
Hernia,3.8798332909040614e-24,12.0,6775.0,18735.0,74.0,0.0017680860468542803,0.13953488372093023,0.7344178753430027,0.26558212465699726,0.003491924923614143,0.4369763795319665,-0.126047240936067
Hernia,3.760463647586923e-24,12.0,6792.0,18718.0,74.0,0.001763668430335097,0.13953488372093023,0.7337514700117601,0.2662485299882399,0.0034833091436865023,0.4366431768663452,-0.12671364626730963
Hernia,3.644766546214041e-24,12.0,6814.0,18696.0,74.0,0.0017579841781423966,0.13953488372093023,0.7328890631125049,0.2671109368874951,0.0034722222222222216,0.4362119734167176,-0.12757605316656484
Hernia,3.5326287852455166e-24,12.0,6827.0,18683.0,74.0,0.001754642491592338,0.13953488372093023,0.7323794590356723,0.26762054096432775,0.003465703971119133,0.43595717137830126,-0.1280856572433975
Hernia,3.423941107445976e-24,12.0,6850.0,18660.0,74.0,0.0017487612940833576,0.13953488372093023,0.7314778518228146,0.26852214817718545,0.003454231433506045,0.4355063677718724,-0.1289872644562552
Hernia,3.318597411023667e-24,12.0,6866.0,18644.0,74.0,0.0017446932247746438,0.13953488372093023,0.7308506468051744,0.2691493531948256,0.0034462952326249287,0.43519276526305234,-0.12961446947389532
Hernia,3.2164949468456855e-24,12.0,6893.0,18617.0,74.0,0.0017378711078928314,0.13953488372093023,0.7297922383379067,0.27020776166209326,0.0034329852667715635,0.4346635610294185,-0.130672877941163
Hernia,3.1175335295770674e-24,12.0,6910.0,18600.0,74.0,0.0017336030049118752,0.13953488372093023,0.729125833006664,0.270874166993336,0.003424657534246575,0.43433035836379713,-0.13133928327240574
Hernia,3.0216173126178287e-24,12.0,6935.0,18575.0,74.0,0.001727364329926587,0.13953488372093023,0.7281458251666013,0.2718541748333987,0.0034124840039812315,0.4338403544437658,-0.13231929111246843
Hernia,2.9286520270897955e-24,12.0,6951.0,18559.0,74.0,0.0017233950883239983,0.13953488372093023,0.7275186201489612,0.2724813798510388,0.003404738260746205,0.4335267519349457,-0.13294649613010856
Hernia,2.8385469539888674e-24,13.0,6968.0,18542.0,73.0,0.00186219739292365,0.1511627906976744,0.7268522148177186,0.27314778518228144,0.003679071741898967,0.4390075027576965,-0.12198499448460698
Hernia,2.751213938108886e-24,13.0,6980.0,18530.0,73.0,0.0018590018590018591,0.1511627906976744,0.7263818110544884,0.2736181889455116,0.0036728351462070913,0.43877230087608143,-0.12245539824783713
Hernia,2.6665677824720872e-24,13.0,7003.0,18507.0,73.0,0.0018529076396807298,0.1511627906976744,0.7254802038416307,0.2745197961583693,0.0036609405801182764,0.4383214972696525,-0.12335700546069495
Hernia,2.584526248329102e-24,13.0,7015.0,18495.0,73.0,0.0018497438816163915,0.1511627906976744,0.7250098000784007,0.27499019992159934,0.003654765251616531,0.43808629538803756,-0.12382740922392488
Hernia,2.5050086746523714e-24,13.0,7038.0,18472.0,73.0,0.0018437101120408453,0.1511627906976744,0.724108192865543,0.27589180713445705,0.0036429872495446266,0.43763549178160865,-0.12472901643678269
Hernia,2.4279377530731837e-24,13.0,7050.0,18460.0,73.0,0.001840577658218887,0.1511627906976744,0.7236377891023128,0.2763622108976872,0.0036368722898307455,0.4374002898999936,-0.12519942020001285
Hernia,2.353237950159864e-24,13.0,7077.0,18433.0,73.0,0.0018335684062059238,0.1511627906976744,0.7225793806350451,0.2774206193649549,0.0036231884057971015,0.4368710856663598,-0.12625782866728041
Hernia,2.2808362962786797e-24,13.0,7090.0,18420.0,73.0,0.0018302125862311698,0.1511627906976744,0.7220697765582125,0.2779302234417875,0.003616636528028933,0.43661628362794347,-0.12676743274411306
