class_name,bin_index,bin_lower,bin_upper,count,mean_predicted_prob,empirical_positive_rate,abs_gap
Emphysema,1,0.06666666666666667,0.13333333333333333,2,0.08495153486728668,0.0,0.08495153486728668
Emphysema,2,0.13333333333333333,0.2,0,,,
Emphysema,3,0.2,0.26666666666666666,0,,,
Emphysema,4,0.26666666666666666,0.3333333333333333,0,,,
Emphysema,5,0.3333333333333333,0.4,0,,,
Emphysema,6,0.4,0.4666666666666667,0,,,
Emphysema,7,0.4666666666666667,0.5333333333333333,0,,,
Emphysema,8,0.5333333333333333,0.6,0,,,
Emphysema,9,0.6,0.6666666666666666,0,,,
Emphysema,10,0.6666666666666666,0.7333333333333333,0,,,
Emphysema,11,0.7333333333333333,0.8,0,,,
Emphysema,12,0.8,0.8666666666666667,0,,,
Emphysema,13,0.8666666666666667,0.9333333333333333,0,,,
Emphysema,14,0.9333333333333333,1.0,0,,,
Fibrosis,0,0.0,0.06666666666666667,25596,3.3081185933127083e-10,0.016994842944210033,0.016994842613398172
Fibrosis,1,0.06666666666666667,0.13333333333333333,0,,,
Fibrosis,2,0.13333333333333333,0.2,0,,,
Fibrosis,3,0.2,0.26666666666666666,0,,,
Fibrosis,4,0.26666666666666666,0.3333333333333333,0,,,
Fibrosis,5,0.3333333333333333,0.4,0,,,
Fibrosis,6,0.4,0.4666666666666667,0,,,
Fibrosis,7,0.4666666666666667,0.5333333333333333,0,,,
Fibrosis,8,0.5333333333333333,0.6,0,,,
Fibrosis,9,0.6,0.6666666666666666,0,,,
Fibrosis,10,0.6666666666666666,0.7333333333333333,0,,,
Fibrosis,11,0.7333333333333333,0.8,0,,,
Fibrosis,12,0.8,0.8666666666666667,0,,,
Fibrosis,13,0.8666666666666667,0.9333333333333333,0,,,
Fibrosis,14,0.9333333333333333,1.0,0,,,
Hernia,0,0.0,0.06666666666666667,25596,9.201069768241735e-14,0.0033598999843725583,0.0033598999842805477
Hernia,1,0.06666666666666667,0.13333333333333333,0,,,
Hernia,2,0.13333333333333333,0.2,0,,,
Hernia,3,0.2,0.26666666666666666,0,,,
Hernia,4,0.26666666666666666,0.3333333333333333,0,,,
Hernia,5,0.3333333333333333,0.4,0,,,
Hernia,6,0.4,0.4666666666666667,0,,,
Hernia,7,0.4666666666666667,0.5333333333333333,0,,,
Hernia,8,0.5333333333333333,0.6,0,,,
Hernia,9,0.6,0.6666666666666666,0,,,
Hernia,10,0.6666666666666666,0.7333333333333333,0,,,
Hernia,11,0.7333333333333333,0.8,0,,,
Hernia,12,0.8,0.8666666666666667,0,,,
Hernia,13,0.8666666666666667,0.9333333333333333,0,,,
Hernia,14,0.9333333333333333,1.0,0,,,
Infiltration,0,0.0,0.06666666666666667,0,,,
Infiltration,1,0.06666666666666667,0.13333333333333333,0,,,
Infiltration,2,0.13333333333333333,0.2,0,,,
Infiltration,3,0.2,0.26666666666666666,0,,,
Infiltration,4,0.26666666666666666,0.3333333333333333,0,,,
Infiltration,5,0.3333333333333333,0.4,0,,,
Infiltration,6,0.4,0.4666666666666667,0,,,
Infiltration,7,0.4666666666666667,0.5333333333333333,0,,,
Infiltration,8,0.5333333333333333,0.6,0,,,
Infiltration,9,0.6,0.6666666666666666,0,,,
Infiltration,10,0.6666666666666666,0.7333333333333333,0,,,
Infiltration,11,0.7333333333333333,0.8,0,,,
Infiltration,12,0.8,0.8666666666666667,0,,,
Infiltration,13,0.8666666666666667,0.9333333333333333,1,0.9118099808692932,0.0,0.9118099808692932
Infiltration,14,0.9333333333333333,1.0,25595,0.9999806920796033,0.2387966399687439,0.7611840521108594
Mass,0,0.0,0.06666666666666667,25582,0.0015415011231107543,0.06825111406457665,0.06670961294146589
Mass,1,0.06666666666666667,0.13333333333333333,14,0.07940147976790156,0.14285714285714285,0.06345566308924129
Mass,2,0.13333333333333333,0.2,0,,,
Mass,3,0.2,0.26666666666666666,0,,,
Mass,4,0.26666666666666666,0.3333333333333333,0,,,
Mass,5,0.3333333333333333,0.4,0,,,
Mass,6,0.4,0.4666666666666667,0,,,
Mass,7,0.4666666666666667,0.5333333333333333,0,,,
Mass,8,0.5333333333333333,0.6,0,,,
Mass,9,0.6,0.6666666666666666,0,,,
Mass,10,0.6666666666666666,0.7333333333333333,0,,,
Mass,11,0.7333333333333333,0.8,0,,,
Mass,12,0.8,0.8666666666666667,0,,,
Mass,13,0.8666666666666667,0.9333333333333333,0,,,
Mass,14,0.9333333333333333,1.0,0,,,
Nodule,0,0.0,0.06666666666666667,25596,4.242158259908078e-08,0.06340834505391467,0.06340830263233208
Nodule,1,0.06666666666666667,0.13333333333333333,0,,,
Nodule,2,0.13333333333333333,0.2,0,,,
Nodule,3,0.2,0.26666666666666666,0,,,
Nodule,4,0.26666666666666666,0.3333333333333333,0,,,
Nodule,5,0.3333333333333333,0.4,0,,,
Nodule,6,0.4,0.4666666666666667,0,,,
Nodule,7,0.4666666666666667,0.5333333333333333,0,,,
Nodule,8,0.5333333333333333,0.6,0,,,
Nodule,9,0.6,0.6666666666666666,0,,,
Nodule,10,0.6666666666666666,0.7333333333333333,0,,,
Nodule,11,0.7333333333333333,0.8,0,,,
Nodule,12,0.8,0.8666666666666667,0,,,
Nodule,13,0.8666666666666667,0.9333333333333333,0,,,
Nodule,14,0.9333333333333333,1.0,0,,,
Pleural_Thickening,0,0.0,0.06666666666666667,25596,7.3082514927558556e-06,0.044655414908579466,0.04464810665708671
Pleural_Thickening,1,0.06666666666666667,0.13333333333333333,0,,,
Pleural_Thickening,2,0.13333333333333333,0.2,0,,,
Pleural_Thickening,3,0.2,0.26666666666666666,0,,,
Pleural_Thickening,4,0.26666666666666666,0.3333333333333333,0,,,
Pleural_Thickening,5,0.3333333333333333,0.4,0,,,
Pleural_Thickening,6,0.4,0.4666666666666667,0,,,
Pleural_Thickening,7,0.4666666666666667,0.5333333333333333,0,,,
Pleural_Thickening,8,0.5333333333333333,0.6,0,,,
Pleural_Thickening,9,0.6,0.6666666666666666,0,,,
Pleural_Thickening,10,0.6666666666666666,0.7333333333333333,0,,,
Pleural_Thickening,11,0.7333333333333333,0.8,0,,,
Pleural_Thickening,12,0.8,0.8666666666666667,0,,,
Pleural_Thickening,13,0.8666666666666667,0.9333333333333333,0,,,
Pleural_Thickening,14,0.9333333333333333,1.0,0,,,
Pneumonia,0,0.0,0.06666666666666667,25590,0.0005425717169510525,0.021688159437280186,0.021145587720329134
Pneumonia,1,0.06666666666666667,0.13333333333333333,4,0.11031650938093662,0.0,0.11031650938093662
Pneumonia,2,0.13333333333333333,0.2,2,0.15086166560649872,0.0,0.15086166560649872
Pneumonia,3,0.2,0.26666666666666666,0,,,
Pneumonia,4,0.26666666666666666,0.3333333333333333,0,,,
Pneumonia,5,0.3333333333333333,0.4,0,,,
Pneumonia,6,0.4,0.4666666666666667,0,,,
Pneumonia,7,0.4666666666666667,0.5333333333333333,0,,,
Pneumonia,8,0.5333333333333333,0.6,0,,,
